NUTS_ID,pop_95,pop_16,pop_50
PL52,1095398,952557,798822
PL61,2090331,2062006,1775505
PL62,1449121,1414734,1196632
PL63,2158019,2277059,2273660
PL71,2500806.61,2479350,2030186
PL72,1250360.858,1241895,990773
PL81,2137410.668,2118528,1746418
PL82,2117779.014,2083496,1919343
PL84,1173093.692,1158945,1014946
PL91,3078846.392,2979942,3215944
PL92,2369652.302,2343325,2004439
PT11,3551449,3603778,3061456
PT15,357495,441929,440108
PT16,2282411,2256364,1876403
PT17,2551871,2812678,3020855
PT18,779171,724391,544312
PT20,239757,245766,214674
PT30,246505,256424,217539
RO11,2888806,2576567,2150126
RO12,2684501,2341964,1931582
RO21,3780653,3256734,2715076
RO22,2957707,2469868,1729871
RO31,3532198,3031555,2074066
RO32,2337293,2288203,2116912
RO41,2441803,1993482,1343275
RO42,2089433,1802212,1441929
SE11,1708502,2231439,2990792
SE12,1500619,1638825,2041637
SE21,812447,834276,994408
SE22,1259002,1459880,1885343
SE23,1745437,1963466,2479064
SE31,866355,838747,928344
SE32,396596,371273,390727
SE33,527423,513111,543749
SI03,1090821.669,1092193,1034940
SI04,898655.3309,971995,1008811
SK01,616955.8098,633288,776992
SK02,1871372.087,1832159,1592792
SK03,1346445.261,1343458,1194034
SK04,1521433.842,1617347,1583397
