,NUTS_ID,CNTR_CODE,sector,ETS,capital_lifetime,e_95,e_21,e_hist,pop_95,pop_21,pop_50,k_95,k_15,hdi,threshold_epc
63,AT13,AT,SWD_INC,1,24,22.7452776,29.10205789,744.6106887,1542667,1920949,2174734,,,,
64,AT13,AT,SWD_LDF,0,24,74.76305545,72.44666015,2051.260772,1542667,1920949,2174734,,,,
65,AT13,AT,TNR,0,26,12.296048,21.22651656,521.9209965,1542667,1920949,2174734,,,,
66,AT13,AT,TRF,1,34,118.5409643,37.08675701,1626.641065,1542667,1920949,2174734,,,,
67,AT13,AT,TRO,0,16,472.0803126,671.3021094,17656.36344,1542667,1920949,2174734,,,,
68,AT13,AT,WWT,0,24,127.8547309,152.3585796,3775.169605,1542667,1920949,2174734,,,,
69,AT21,AT,AGS,0,23,143.2214892,136.4790363,3669.199221,560708,562089,520755,,,,
70,AT21,AT,AWB,0,23,0.554564602,0.73517577,18.04565195,560708,562089,520755,,,,
71,AT21,AT,CHE,1,36,44.15858584,54.2055682,1342.835232,560708,562089,520755,,,,
72,AT21,AT,ENE,1,34,213.0807933,240.9068469,15651.75348,560708,562089,520755,,,,
73,AT21,AT,ENF,0,23,435.992876,386.5314232,10979.65746,560708,562089,520755,,,,
74,AT21,AT,IDE,0,15,24.93407475,13.11644103,589.9504794,560708,562089,520755,,,,
75,AT21,AT,IND,1,15,542.2557577,646.0854009,17145.22629,560708,562089,520755,,,,
76,AT21,AT,MNM,0,23,136.2494335,113.5112716,3295.044045,560708,562089,520755,,,,
77,AT21,AT,N2O,0,23,37.02588179,31.13575653,906.7199132,560708,562089,520755,,,,
78,AT21,AT,NEU,0,15,3.71701478,1.203567578,74.82668807,560708,562089,520755,,,,
79,AT21,AT,NFE,1,31,26.3280281,6.283651628,201.9155249,560708,562089,520755,,,,
80,AT21,AT,NMM,1,40,275.9684981,362.3233432,9387.091432,560708,562089,520755,,,,
81,AT21,AT,PRO,1,27,99.4139413,205.266359,4397.720489,560708,562089,520755,,,,
82,AT21,AT,PRU,0,15,372.6931483,182.6477135,7345.141438,560708,562089,520755,,,,
83,AT21,AT,RCO,0,20,1091.393782,588.4524478,22614.54827,560708,562089,520755,,,,
84,AT21,AT,SOL,0,15,73.69074138,67.10635544,1933.132078,560708,562089,520755,,,,
85,AT21,AT,SWD_INC,1,24,7.947981344,7.810780106,213.389069,560708,562089,520755,,,,
86,AT21,AT,SWD_LDF,0,24,114.3583491,45.68429407,2056.814399,560708,562089,520755,,,,
87,AT21,AT,TNR,0,26,37.88840524,68.77242293,1662.219978,560708,562089,520755,,,,
88,AT21,AT,TRF,1,34,42.81694847,9.998883954,493.272708,560708,562089,520755,,,,
89,AT21,AT,TRO,0,16,1653.797657,2361.011647,61971.74685,560708,562089,520755,,,,
90,AT21,AT,WWT,0,24,118.7922655,132.4806127,3343.940356,560708,562089,520755,,,,
91,AT22,AT,AGS,0,23,207.8592918,199.1570133,5342.790284,1186136,1247077,1241974,,,,
92,AT22,AT,AWB,0,23,1.087498152,1.437533072,35.33116276,1186136,1247077,1241974,,,,
93,AT22,AT,CHE,1,36,87.35484233,117.0095706,2808.408832,1186136,1247077,1241974,,,,
94,AT22,AT,ENE,1,34,4185.087728,2631.11433,85352.8016,1186136,1247077,1241974,,,,
95,AT22,AT,ENF,0,23,789.8517046,694.0035687,19808.27383,1186136,1247077,1241974,,,,
96,AT22,AT,IDE,0,15,54.95865175,28.9107412,1300.34507,1186136,1247077,1241974,,,,
97,AT22,AT,IND,1,15,2012.511484,2020.431773,55639.22994,1186136,1247077,1241974,,,,
98,AT22,AT,IRO,1,31,141.046044,221.903024,5094.168,1186136,1247077,1241974,,,,
99,AT22,AT,MNM,0,23,404.8163289,330.0869443,9726.30629,1186136,1247077,1241974,,,,
100,AT22,AT,N2O,0,23,77.81508147,65.77985315,1910.277658,1186136,1247077,1241974,,,,
101,AT22,AT,NEU,0,15,7.353028297,2.598053415,153.8870421,1186136,1247077,1241974,,,,
102,AT22,AT,NFE,1,31,56.23850866,13.20654476,422.8328806,1186136,1247077,1241974,,,,
103,AT22,AT,NMM,1,40,349.7017504,446.8998364,11295.99219,1186136,1247077,1241974,,,,
104,AT22,AT,PRO,1,27,240.1293214,287.3123284,6933.374621,1186136,1247077,1241974,,,,
105,AT22,AT,PRU,0,15,343.2616876,322.7191534,9017.827694,1186136,1247077,1241974,,,,
106,AT22,AT,RCO,0,20,2195.091732,1241.849449,46794.03643,1186136,1247077,1241974,,,,
107,AT22,AT,SOL,0,15,146.3414516,144.7644382,4024.319707,1186136,1247077,1241974,,,,
108,AT22,AT,SWD_INC,1,24,17.20122795,17.12238079,469.9419278,1186136,1247077,1241974,,,,
109,AT22,AT,SWD_LDF,0,24,866.0162298,274.5661166,14382.8642,1186136,1247077,1241974,,,,
110,AT22,AT,TNR,0,26,60.32829318,103.2819582,2546.88049,1186136,1247077,1241974,,,,
111,AT22,AT,TRF,1,34,892.163947,926.6839452,28909.24986,1186136,1247077,1241974,,,,
112,AT22,AT,TRO,0,16,2592.36265,3720.498955,97394.46347,1186136,1247077,1241974,,,,
113,AT22,AT,WWT,0,24,264.2109719,299.141826,7516.670263,1186136,1247077,1241974,,,,
114,AT31,AT,AGS,0,23,251.6125632,260.4892807,6714.597865,1360051,1495608,1564507,,,,
115,AT31,AT,AWB,0,23,2.367553972,2.701900587,71.28409354,1360051,1495608,1564507,,,,
116,AT31,AT,CHE,1,36,1590.837286,1074.014064,35346.85379,1360051,1495608,1564507,,,,
117,AT31,AT,ENE,1,34,3311.481743,2987.074509,93420.49624,1360051,1495608,1564507,,,,
118,AT31,AT,ENF,0,23,1336.918594,1171.004665,33492.29111,1360051,1495608,1564507,,,,
119,AT31,AT,IDE,0,15,52.94872824,27.85335229,1252.786107,1360051,1495608,1564507,,,,
120,AT31,AT,IND,1,15,3178.133161,3314.218092,88922.16934,1360051,1495608,1564507,,,,
121,AT31,AT,IRO,1,31,337.503148,537.698964,12308.42457,1360051,1495608,1564507,,,,
122,AT31,AT,MNM,0,23,581.1624033,459.3703739,13773.3696,1360051,1495608,1564507,,,,
123,AT31,AT,N2O,0,23,85.04732874,72.61641017,2097.838704,1360051,1495608,1564507,,,,
124,AT31,AT,NEU,0,15,7.899241162,2.758256945,165.4418484,1360051,1495608,1564507,,,,
125,AT31,AT,NFE,1,31,59.72901378,14.01545094,450.2452674,1360051,1495608,1564507,,,,
126,AT31,AT,NMM,1,40,413.1768638,516.5955109,12839.22592,1360051,1495608,1564507,,,,
127,AT31,AT,PRO,1,27,260.7076309,303.946403,7388.37289,1360051,1495608,1564507,,,,
128,AT31,AT,PRU,0,15,151.0008422,308.2823915,6435.158376,1360051,1495608,1564507,,,,
129,AT31,AT,RCO,0,20,2495.79548,1413.455274,53493.6543,1360051,1495608,1564507,,,,
130,AT31,AT,SOL,0,15,158.6752556,155.9222711,4365.583356,1360051,1495608,1564507,,,,
131,AT31,AT,SWD_INC,1,24,18.23873004,18.13894207,499.3142581,1360051,1495608,1564507,,,,
132,AT31,AT,SWD_LDF,0,24,317.6589259,120.821326,5609.85232,1360051,1495608,1564507,,,,
133,AT31,AT,TNR,0,26,70.08985592,115.6731226,2889.673044,1360051,1495608,1564507,,,,
134,AT31,AT,TRF,1,34,3029.090382,3254.012859,102030.2487,1360051,1495608,1564507,,,,
135,AT31,AT,TRO,0,16,2656.517728,3792.941338,99507.19218,1360051,1495608,1564507,,,,
136,AT31,AT,WWT,0,24,418.3943544,499.366031,12700.61051,1360051,1495608,1564507,,,,
137,AT32,AT,AGS,0,23,63.47453431,54.5764158,1557.979411,506626,560710,576733,,,,
138,AT32,AT,AWB,0,23,0.080399412,0.09415424,2.450011357,506626,560710,576733,,,,
139,AT32,AT,CHE,1,36,43.93855564,60.77549897,1458.386613,506626,560710,576733,,,,
140,AT32,AT,ENE,1,34,247.5627475,367.620274,10040.29785,506626,560710,576733,,,,
141,AT32,AT,ENF,0,23,364.4404872,323.0917002,9180.521851,506626,560710,576733,,,,
142,AT32,AT,IDE,0,15,26.58752546,13.98621233,629.0710647,506626,560710,576733,,,,
143,AT32,AT,IND,1,15,519.0736338,616.0577975,16658.40282,506626,560710,576733,,,,
144,AT32,AT,MNM,0,23,84.71928106,68.6496095,2020.380771,506626,560710,576733,,,,
145,AT32,AT,N2O,0,23,35.8743134,30.14592943,878.1898035,506626,560710,576733,,,,
146,AT32,AT,NEU,0,15,3.698493281,1.349445554,79.90356563,506626,560710,576733,,,,
147,AT32,AT,NFE,1,31,29.17048569,6.854520341,219.5264639,506626,560710,576733,,,,
148,AT32,AT,NMM,1,40,188.0878477,243.6112819,6220.023478,506626,560710,576733,,,,
149,AT32,AT,PRO,1,27,54.64167024,104.0375459,2259.216813,506626,560710,576733,,,,
150,AT32,AT,PRU,0,15,70.69996793,150.8236954,3123.079801,506626,560710,576733,,,,
151,AT32,AT,RCO,0,20,957.3365769,584.0967486,21395.73536,506626,560710,576733,,,,
152,AT32,AT,SOL,0,15,72.35243829,73.64559738,2048.145137,506626,560710,576733,,,,
153,AT32,AT,SWD_INC,1,24,7.908379561,8.757485448,231.3946628,506626,560710,576733,,,,
154,AT32,AT,SWD_LDF,0,24,643.8841552,197.7085117,10590.86609,506626,560710,576733,,,,
155,AT32,AT,TNR,0,26,22.7405012,41.11846418,995.1160357,506626,560710,576733,,,,
156,AT32,AT,TRF,1,34,42.60360278,11.21080371,526.0313416,506626,560710,576733,,,,
157,AT32,AT,TRO,0,16,971.6494303,1385.529014,36388.6846,506626,560710,576733,,,,
158,AT32,AT,WWT,0,24,110.9157834,126.8706737,3181.189188,506626,560710,576733,,,,
159,AT33,AT,AGS,0,23,175.6395522,148.999629,4281.789837,649875,760105,815176,,,,
160,AT33,AT,AWB,0,23,0.098013278,0.112584746,2.957591814,649875,760105,815176,,,,
161,AT33,AT,CHE,1,36,56.72453267,82.89950783,1953.373304,649875,760105,815176,,,,
162,AT33,AT,ENE,1,34,318.7370373,360.3606567,9434.676956,649875,760105,815176,,,,
163,AT33,AT,ENF,0,23,417.9779631,376.7625475,10597.85745,649875,760105,815176,,,,
164,AT33,AT,IDE,0,15,43.75826812,23.01874911,1035.335968,649875,760105,815176,,,,
165,AT33,AT,IND,1,15,743.6745148,882.4869895,23485.21378,649875,760105,815176,,,,
166,AT33,AT,MNM,0,23,91.46340816,74.40524985,2184.614615,649875,760105,815176,,,,
167,AT33,AT,N2O,0,23,62.55641452,52.3275012,1528.106202,649875,760105,815176,,,,
168,AT33,AT,NEU,0,15,4.774744061,1.840680747,105.9534937,649875,760105,815176,,,,
169,AT33,AT,NFE,1,31,39.88920151,9.349754185,298.8478989,649875,760105,815176,,,,
170,AT33,AT,NMM,1,40,376.0203768,474.6867397,11881.09808,649875,760105,815176,,,,
171,AT33,AT,PRO,1,27,72.83974437,138.5811378,3009.380186,649875,760105,815176,,,,
172,AT33,AT,PRU,0,15,91.27341334,205.7274203,4184.668026,649875,760105,815176,,,,
173,AT33,AT,RCO,0,20,1226.189888,789.506539,28291.49746,649875,760105,815176,,,,
174,AT33,AT,SOL,0,15,93.25496434,100.2251607,2728.847821,649875,760105,815176,,,,
175,AT33,AT,SWD_INC,1,24,10.20969396,11.9454407,309.6674055,649875,760105,815176,,,,
176,AT33,AT,SWD_LDF,0,24,816.4888503,252.3209874,13454.56672,649875,760105,815176,,,,
177,AT33,AT,TNR,0,26,33.67313829,56.7266566,1406.792945,649875,760105,815176,,,,
178,AT33,AT,TRF,1,34,55.00111239,15.29182872,697.4267056,649875,760105,815176,,,,
179,AT33,AT,TRO,0,16,1319.481151,1884.692613,49458.35144,649875,760105,815176,,,,
180,AT33,AT,WWT,0,24,64.62561915,73.32169726,1841.909731,649875,760105,815176,,,,
181,AT34,AT,AGS,0,23,44.68572644,38.88980867,1101.799767,341408,399237,442229,,,,
182,AT34,AT,AWB,0,23,0.066592138,0.074175844,1.990869723,341408,399237,442229,,,,
183,AT34,AT,CHE,1,36,32.36312009,46.8619553,1104.584118,341408,399237,442229,,,,
184,AT34,AT,ENE,1,34,214.8490986,242.9060737,6359.574203,341408,399237,442229,,,,
185,AT34,AT,ENF,0,23,154.1905606,137.0641613,3887.459939,341408,399237,442229,,,,
186,AT34,AT,IDE,0,15,10.20998371,5.370900856,241.5721522,341408,399237,442229,,,,
187,AT34,AT,IND,1,15,307.0727949,339.0968531,9494.62321,341408,399237,442229,,,,
188,AT34,AT,MNM,0,23,36.43468898,29.63233792,870.3440507,341408,399237,442229,,,,
189,AT34,AT,N2O,0,23,14.19976517,11.94762484,347.8190306,341408,399237,442229,,,,
190,AT34,AT,NEU,0,15,2.724141859,1.040511664,59.92517953,341408,399237,442229,,,,
191,AT34,AT,NFE,1,31,22.45845747,5.28527955,168.1306712,341408,399237,442229,,,,
192,AT34,AT,NMM,1,40,79.27191653,98.12615197,2396.329507,341408,399237,442229,,,,
193,AT34,AT,PRO,1,27,30.04172722,57.13902051,1241.475735,341408,399237,442229,,,,
194,AT34,AT,PRU,0,15,52.07432787,116.2948067,2366.167912,341408,399237,442229,,,,
195,AT34,AT,RCO,0,20,631.8173203,408.3676735,14591.46286,341408,399237,442229,,,,
196,AT34,AT,SOL,0,15,52.74274198,55.94773569,1526.085837,341408,399237,442229,,,,
197,AT34,AT,SWD_INC,1,24,5.824952607,6.752592098,175.1160936,341408,399237,442229,,,,
198,AT34,AT,SWD_LDF,0,24,106.8451581,42.04705889,1909.2561,341408,399237,442229,,,,
199,AT34,AT,TNR,0,26,11.37906144,21.94797173,519.9662773,341408,399237,442229,,,,
200,AT34,AT,TRF,1,34,31.37985265,8.644264482,394.5715692,341408,399237,442229,,,,
201,AT34,AT,TRO,0,16,504.6847859,716.4109003,18860.05569,341408,399237,442229,,,,
202,AT34,AT,WWT,0,24,34.01980629,38.55173345,967.5610317,341408,399237,442229,,,,
203,BE10,BE,AGS,0,23,0.160144514,0.150918082,4.170290496,951580,1226329,1408311,,,,
204,BE10,BE,AWB,0,23,0.000935264,0.00100459,0.030125398,951580,1226329,1408311,,,,
205,BE10,BE,CHE,1,36,148.6052755,251.9646304,6894.877034,951580,1226329,1408311,,,,
206,BE10,BE,ENE,1,34,180.0843526,135.0271213,4141.911693,951580,1226329,1408311,,,,
207,BE10,BE,ENF,0,23,3.479854363,2.579696955,79.76385831,951580,1226329,1408311,,,,
208,BE10,BE,IDE,0,15,2.594002021,1.251385091,52.57655312,951580,1226329,1408311,,,,
209,BE10,BE,IND,1,15,926.2652148,912.0838995,26754.52113,951580,1226329,1408311,,,,
210,BE10,BE,MNM,0,23,1.12238986,0.857660105,26.00399814,951580,1226329,1408311,,,,
211,BE10,BE,N2O,0,23,2.888195796,2.39559758,70.32253071,951580,1226329,1408311,,,,
212,BE10,BE,NEU,0,15,11.11516595,6.128271829,196.8792657,951580,1226329,1408311,,,,
213,BE10,BE,NFE,1,31,0,0,0.023013278,951580,1226329,1408311,,,,
214,BE10,BE,NMM,1,40,201.7755258,140.9968166,4593.484077,951580,1226329,1408311,,,,
215,BE10,BE,PRO,1,27,105.1563661,180.2508338,4106.03436,951580,1226329,1408311,,,,
216,BE10,BE,PRU,0,15,169.0927648,278.2276895,7193.522078,951580,1226329,1408311,,,,
217,BE10,BE,RCO,0,20,2118.488336,2011.190384,60646.76994,951580,1226329,1408311,,,,
218,BE10,BE,SOL,0,15,73.82360762,83.56099096,2155.082352,951580,1226329,1408311,,,,
219,BE10,BE,SWD_INC,1,24,82.49728206,17.07771364,1457.344005,951580,1226329,1408311,,,,
220,BE10,BE,SWD_LDF,0,24,4.44538255,10.80025997,540.210097,951580,1226329,1408311,,,,
221,BE10,BE,TNR,0,26,2.344276252,2.415659208,64.44650623,951580,1226329,1408311,,,,
222,BE10,BE,TRF,1,34,0,12.79536009,88.43557031,951580,1226329,1408311,,,,
223,BE10,BE,TRO,0,16,495.9100453,541.0940327,14957.02487,951580,1226329,1408311,,,,
224,BE10,BE,WWT,0,24,137.5150503,139.7783811,3699.186488,951580,1226329,1408311,,,,
225,BE21,BE,AGS,0,23,99.24471673,93.687713,2573.888004,1628710,1879318,1993930,,,,
226,BE21,BE,AWB,0,23,0.104125772,0.177397766,5.211402246,1628710,1879318,1993930,,,,
227,BE21,BE,CHE,1,36,1489.156544,2322.181054,64399.10165,1628710,1879318,1993930,,,,
228,BE21,BE,ENE,1,34,5310.98014,3120.220356,101188.0863,1628710,1879318,1993930,,,,
229,BE21,BE,ENF,0,23,715.6793424,535.0056548,16494.45188,1628710,1879318,1993930,,,,
230,BE21,BE,IDE,0,15,56.2897626,27.15505514,1140.909901,1628710,1879318,1993930,,,,
231,BE21,BE,IND,1,15,2486.094972,2789.870052,77246.58686,1628710,1879318,1993930,,,,
232,BE21,BE,MNM,0,23,446.1300564,342.3778158,10484.26369,1628710,1879318,1993930,,,,
233,BE21,BE,N2O,0,23,74.36243957,63.2077039,1834.9906,1628710,1879318,1993930,,,,
234,BE21,BE,NEU,0,15,22.26283361,10.45241983,357.0224614,1628710,1879318,1993930,,,,
235,BE21,BE,NFE,1,31,1.053672202,0.459574187,17.44691932,1628710,1879318,1993930,,,,
236,BE21,BE,NMM,1,40,356.5253801,240.4847844,7925.998763,1628710,1879318,1993930,,,,
237,BE21,BE,PRO,1,27,557.3200146,947.7117219,21646.66517,1628710,1879318,1993930,,,,
238,BE21,BE,PRU,0,15,338.6794607,474.5459864,12772.48477,1628710,1879318,1993930,,,,
239,BE21,BE,RCO,0,20,4819.862215,3748.216454,119973.0352,1628710,1879318,1993930,,,,
240,BE21,BE,REF,1,29,3470.41205,4230.772299,105779.8592,1628710,1879318,1993930,,,,
241,BE21,BE,SOL,0,15,150.3698141,148.1506525,3956.753587,1628710,1879318,1993930,,,,
242,BE21,BE,SWD_INC,1,24,99.63923789,27.45560322,2127.967839,1628710,1879318,1993930,,,,
243,BE21,BE,SWD_LDF,0,24,154.379082,56.58512803,2727.776568,1628710,1879318,1993930,,,,
244,BE21,BE,TNR,0,26,36.84930056,21.46955069,756.2780854,1628710,1879318,1993930,,,,
245,BE21,BE,TRF,1,34,0,20.40347363,148.0925729,1628710,1879318,1993930,,,,
246,BE21,BE,TRO,0,16,2651.691185,2912.965227,80357.8475,1628710,1879318,1993930,,,,
247,BE21,BE,WWT,0,24,237.8133078,197.6042485,5448.612385,1628710,1879318,1993930,,,,
248,BE22,BE,AGS,0,23,77.28683023,73.24977409,2021.089106,771613,883228,860427,,,,
249,BE22,BE,AWB,0,23,0.363797255,0.406874821,12.17488271,771613,883228,860427,,,,
250,BE22,BE,CHE,1,36,129.5873744,184.0551107,5283.252274,771613,883228,860427,,,,
251,BE22,BE,ENE,1,34,3429.111883,1209.617795,57905.24004,771613,883228,860427,,,,
252,BE22,BE,ENF,0,23,438.5220792,327.0843104,10093.54214,771613,883228,860427,,,,
253,BE22,BE,IDE,0,15,45.58032784,21.98864352,923.8449396,771613,883228,860427,,,,
254,BE22,BE,IND,1,15,1216.166686,852.708348,28822.5245,771613,883228,860427,,,,
255,BE22,BE,IRO,1,31,13.97795812,15.6238,498.3989249,771613,883228,860427,,,,
256,BE22,BE,MNM,0,23,210.9571249,166.8650699,5029.715871,771613,883228,860427,,,,
257,BE22,BE,N2O,0,23,60.04723803,51.02721371,1481.615496,771613,883228,860427,,,,
258,BE22,BE,NEU,0,15,9.69268962,4.476583513,153.6374091,771613,883228,860427,,,,
259,BE22,BE,NFE,1,31,1.501339001,0.677312912,25.78454599,771613,883228,860427,,,,
260,BE22,BE,NMM,1,40,174.089783,119.8665586,3882.899489,771613,883228,860427,,,,
261,BE22,BE,PRO,1,27,572.0112219,710.7283727,16879.83862,771613,883228,860427,,,,
262,BE22,BE,PRU,0,15,147.4526695,203.2394694,5487.114517,771613,883228,860427,,,,
263,BE22,BE,RCO,0,20,2462.335605,1813.802984,58601.35348,771613,883228,860427,,,,
264,BE22,BE,SOL,0,15,67.06447884,67.23749188,1755.976637,771613,883228,860427,,,,
