"NUTS_ID","ISO","sector","sect_b"
"BE24","BEL","TRF",6.379166719620424e-5
"BE25","BEL","CHE",0.003575213258992245
"BE25","BEL","ENE",0.0210982763272827
"BE25","BEL","IND",0.005384196130828809
"BE25","BEL","NFE",0
"BE25","BEL","NMM",0.002222946490609916
"BE25","BEL","PRO",0.008599717215394638
"BE25","BEL","SWD_INC",1.522733007386136e-4
"BE25","BEL","TRF",7.196083522963068e-4
"BE31","BEL","CHE",0.001198375089120513
"BE31","BEL","ENE",0.0010376548930856504
"BE31","BEL","IND",0.0027574736669212486
"BE31","BEL","IRO",6.198180365562296e-4
"BE31","BEL","NFE",0
"BE31","BEL","NMM",7.451084884516889e-4
"BE31","BEL","PRO",0.0031921989944617866
"BE31","BEL","SWD_INC",5.104048293456259e-5
"BE31","BEL","TRF",0.00186900594075153
"BE32","BEL","CHE",0.05879314118244076
"BE32","BEL","ENE",0.03815248451371502
"BE32","BEL","IND",0.024832723523449687
"BE32","BEL","IRO",0.002690534139087339
"BE32","BEL","NFE",0
"BE32","BEL","NMM",0.013293530919660576
"BE32","BEL","PRO",0.00996767545927091
"BE32","BEL","SWD_INC",1.7892986347501424e-4
"BE32","BEL","TRF",0.007732201227786256
"BE33","BEL","CHE",0.003421288831525445
"BE33","BEL","ENE",0.024009920615525038
"BE33","BEL","IND",0.013545993670313117
"BE33","BEL","IRO",0.0016890379601293484
"BE33","BEL","NFE",6.8962658232445525e-6
"BE33","BEL","NMM",0.01865592141155988
"BE33","BEL","PRO",0.009198887366020933
"BE33","BEL","SWD_INC",1.51401736187197e-4
"BE33","BEL","TRF",0.004776678373018262
"BE34","BEL","CHE",4.258942015735352e-4
"BE34","BEL","ENE",8.022671301268125e-4
"BE34","BEL","IND",0.0014957182352674438
"BE34","BEL","NFE",0
"BE34","BEL","NMM",0.00150823506338047
"BE34","BEL","PRO",0.004928136369356561
"BE34","BEL","SWD_INC",1.8139431786583376e-5
"BE34","BEL","TRF",0
"BE35","BEL","CHE",0.001190028267727103
"BE35","BEL","ENE",0.0039493127782522204
"BE35","BEL","IND",0.0030308179998016003
"BE35","BEL","NFE",0
"BE35","BEL","NMM",0.011183185467040292
"BE35","BEL","PRO",0.005477562878106774
"BE35","BEL","SWD_INC",5.068497927371766e-5
"BE35","BEL","TRF",0
"BG31","BGR","CHE",0.003693675727776685
