"NUTS_ID","CNTR_CODE","sector","ETS","capital_lifetime","e_95","e_21","e_hist","pop_50","ISO","pop_21","pop_95","sect_b"
"AT13","AT","TNR",0,26,1.2296048e-5,2.122651656e-5,5.219209965e-4,2174734,"AUT",1840226,1542667,5.21092025991585e-4
"AT13","AT","TRO",0,16,4.720803126e-4,6.713021093999999e-4,0.01765636344,2174734,"AUT",1840226,1542667,0.010141456802598144
"AT13","AT","WWT",0,24,1.278547309e-4,1.523585796e-4,0.003775169605,2174734,"AUT",1840226,1542667,0.0034525542193654794
"AT21","AT","AGS",0,23,1.432214892e-4,1.3647903629999999e-4,0.0036691992209999997,520755,"AUT",560482,560708,0.002963849410111014
"AT21","AT","AWB",0,23,5.54564602e-7,7.351757700000001e-7,1.804565195e-5,520755,"AUT",560482,560708,1.5965457635946178e-5
"AT21","AT","ENF",0,23,4.3599287600000003e-4,3.865314232e-4,0.01097965746,520755,"AUT",560482,560708,0.008394116500958108
"AT21","AT","IDE",0,15,2.493407475e-5,1.311644103e-5,5.899504794e-4,520755,"AUT",560482,560708,1.857674504615861e-4
"AT21","AT","MNM",0,23,1.3624943350000002e-4,1.135112716e-4,0.0032950440450000003,520755,"AUT",560482,560708,0.0024650695410325892
"AT21","AT","N2O",0,23,3.702588179e-5,3.113575653e-5,9.067199131999999e-4,520755,"AUT",560482,560708,6.761602083850636e-4
"AT21","AT","NEU",0,15,3.71701478e-6,1.203567578e-6,7.482668807e-5,520755,"AUT",560482,560708,1.70460630221189e-5
"AT21","AT","PRU",0,15,3.726931483e-4,1.826477135e-4,0.0073451414379999995,520755,"AUT",560482,560708,0.0025868297651724524
"AT21","AT","RCO",0,20,0.001091393782,5.884524477999999e-4,0.02261454827,520755,"AUT",560482,560708,0.011112293921362657
"AT21","AT","SOL",0,15,7.369074138e-5,6.710635544e-5,0.001933132078,520755,"AUT",560482,560708,9.504237110771951e-4
"AT21","AT","SWD_LDF",0,24,1.143583491e-4,4.568429407e-5,0.002056814399,520755,"AUT",560482,560708,0.0010352387286899586
"AT21","AT","TNR",0,26,3.788840524e-5,6.877242293e-5,0.0016622199780000001,520755,"AUT",560482,560708,0.0016883015682599516
"AT21","AT","TRO",0,16,0.001653797657,0.0023610116469999997,0.06197174685,520755,"AUT",560482,560708,0.03566814001207665
"AT21","AT","WWT",0,24,1.1879226549999999e-4,1.324806127e-4,0.003343940356,520755,"AUT",560482,560708,0.0030021052937245214
"AT22","AT","AGS",0,23,2.078592918e-4,1.9915701329999998e-4,0.005342790284,1241974,"AUT",1232012,1186136,0.004324996808236375
"AT22","AT","AWB",0,23,1.087498152e-6,1.437533072e-6,3.533116276e-5,1241974,"AUT",1232012,1186136,3.12182124300527e-5
"AT22","AT","ENF",0,23,7.898517045999999e-4,6.940035687e-4,0.019808273829999997,1241974,"AUT",1232012,1186136,0.015071340796875433
"AT22","AT","IDE",0,15,5.495865175e-5,2.89107412e-5,0.00130034507,1241974,"AUT",1232012,1186136,4.094612762253798e-4
"AT22","AT","MNM",0,23,4.0481632889999996e-4,3.300869443e-4,0.00972630629,1241974,"AUT",1232012,1186136,0.007168338974774122
"AT22","AT","N2O",0,23,7.781508146999999e-5,6.577985315e-5,0.001910277658,1241974,"AUT",1232012,1186136,0.0014285093464996615
"AT22","AT","NEU",0,15,7.353028297e-6,2.598053415e-6,1.538870421e-4,1241974,"AUT",1232012,1186136,3.679609110151788e-5
"AT22","AT","PRU",0,15,3.4326168760000003e-4,3.2271915339999996e-4,0.009017827693999999,1241974,"AUT",1232012,1186136,0.004570654052049628
"AT22","AT","RCO",0,20,0.002195091732,0.001241849449,0.04679403643,1241974,"AUT",1232012,1186136,0.023450996142445255
"AT22","AT","SOL",0,15,1.463414516e-4,1.447644382e-4,0.004024319707,1241974,"AUT",1232012,1186136,0.002050290969967319
"AT22","AT","SWD_LDF",0,24,8.660162298e-4,2.7456611659999996e-4,0.0143828642,1241974,"AUT",1232012,1186136,0.006221864281295282
"AT22","AT","TNR",0,26,6.032829318e-5,1.032819582e-4,0.00254688049,1241974,"AUT",1232012,1186136,0.002535479841672909
"AT22","AT","TRO",0,16,0.00259236265,0.003720498955,0.09739446347,1241974,"AUT",1232012,1186136,0.056206108856067374
"AT22","AT","WWT",0,24,2.642109719e-4,2.99141826e-4,0.007516670263,1241974,"AUT",1232012,1186136,0.006778767406840502
"AT31","AT","AGS",0,23,2.516125632e-4,2.604892807e-4,0.006714597865,1564507,"AUT",1453948,1360051,0.005656920079988412
"AT31","AT","AWB",0,23,2.367553972e-6,2.701900587e-6,7.128409354e-5,1564507,"AUT",1453948,1360051,5.86758719731563e-5
"AT31","AT","ENF",0,23,0.0013369185939999999,0.001171004665,0.033492291109999996,1564507,"AUT",1453948,1360051,0.025430143556761733
"AT31","AT","IDE",0,15,5.294872824e-5,2.785335229e-5,0.0012527861069999999,1564507,"AUT",1453948,1360051,3.944855338339962e-4
