"NUTS_ID","pop_95","pop_21","pop_50","k_95","k_19","CNTR_CODE","ISO","emi_hist","pop_2000","eu_nhbc","eu_nhb","eu_pcc_nhb","eu_epc_s"
"AT11",277529,291011,292229,27.169808612565227,44.1604212859789,"AT","AUT",72199781.87324429,276226,-0.3808538764430374,-0.3660862782791162,-0.3260096130667262,0.018323237349532423
"AT12",1518489,1653691,1717492,160.74355306695156,261.2643733956536,"AT","AUT",431474520.5498301,1535083,-2.197525644465259,-2.1130286823521347,-1.883718782090567,0.08647836797876579
"AT13",1542667,1840226,2174734,17.7395397335764,28.832943184288872,"AT","AUT",456182485.00341254,1548537,-2.477807484947064,-2.381082555122573,-2.118588100219369,0.13672589350430941
"AT21",560708,560482,520755,39.867679487152685,64.798893026903,"AT","AUT",138296797.3027968,560696,-0.7254924050933824,-0.6973979494162035,-0.6211545358291924,0.033917730956240594
"AT22",1186136,1232012,1241974,86.27225631599266,140.22252561780144,"AT","AUT",306496726.7348638,1182930,-1.6231472066121975,-1.5601518809345536,-1.389193641882763,0.07965456299851548
"AT31",1360051,1453948,1564507,89.11652068908327,144.8454478752035,"AT","AUT",375726943.92253685,1370035,-1.9690956432690638,-1.892860695821773,-1.6859724508671197,0.09158111366521526
"AT32",506626,545815,576733,35.3752206370975,57.49707952290162,"AT","AUT",142420943.35929325,512854,-0.7340341562609604,-0.705728339651673,-0.628911329653041,0.031089193671584497
"AT33",649875,739139,815176,61.18301100551356,99.44374581639964,"AT","AUT",186358062.27189285,667459,-0.9913846052743913,-0.9528679981484705,-0.8483406977866619,0.0497425905596621
"AT34",341408,384147,442229,22.526077118733834,36.61273694153622,"AT","AUT",103987166.98212951,348366,-0.5332566498724298,-0.5127181916472312,-0.4569804267694669,0.0219103031473111
"BE10",951580,1201285,1408311,6.292162557667437,11.083660744581557,"BE","BEL",461069670.85662425,959318,-1.7303505231559562,-2.0341961929586447,-1.9423480343895625,0.1266437301035956
"BE21",1628710,1828927,1993930,79.4514187108336,139.953881133203,"BE","BEL",804860937.6131967,1643972,-2.7551324333337868,-3.2219964436439072,-3.080870194660312,0.09817064241052553
"BE22",771613,866970,860427,56.16609623805873,98.93672490892186,"BE","BEL",360041552.2562542,791178,-1.2454634667799562,-1.4574194056008059,-1.3933481858558672,0.04993416251700794
"BE23",1349382,1489084,1583797,84.52034917505019,148.8828153570636,"BE","BEL",677170623.5581754,1361623,-2.2562039974438215,-2.634199499589738,-2.5199369173977875,0.05396706965991338
"BE24",995266,1122600,1213677,60.530315737467056,106.62430893158597,"BE","BEL",560140955.0640004,1014704,-1.7547712518409186,-2.040746764693897,-1.9543004965326565,-0.0069929001343067565
"BE25",1121135,1184418,1173521,70.41032130788963,124.0279644941236,"BE","BEL",518193969.4968006,1128774,-1.7524494038762963,-2.047910545110155,-1.958596908458127,0.05330165944832099
"BE31",336505,397745,426314,22.47346452677691,39.58706633646203,"BE","BEL",187712687.33551827,349884,-0.6038307780469587,-0.7034428377106591,-0.6733315504333852,0.004961910922283402
"BE32",1286649,1341267,1347354,73.88047829212498,130.14065506611718,"BE","BEL",493896372.05311096,1279467,-1.9021295022089688,-2.2392381396672736,-2.137335066280102,0.15815591469609075
"BE33",1015007,1103490,1124326,60.39963155057339,106.39410839577084,"BE","BEL",422995915.9809913,1019442,-1.572265364096399,-1.84738221046953,-1.7642183603902633,0.10914876637831772
"BE34",240281,283257,293194,28.725578704589843,50.600181755551866,"BE","BEL",111754045.97260858,246820,-0.40125439850823447,-0.4705561833456516,-0.4496072544798857,0.02229291176702551
"BE35",434446,492074,502136,40.80051653230159,71.8702162099518,"BE","BEL",196929429.81271908,443903,-0.7040989180342301,-0.8255072356441535,-0.7888072543191503,0.03790457421874252
"BG31",1143962,783909,468488,6.021233242011131,23.143523614641754,"BG","BGR",109571714.7610221,1081257,0.23385454239510506,0.29061258774988297,0.5586576638545678,0.04719917098255359
"BG32",1089887,815441,544554,6.50893804633429,25.018091033335082,"BG","BGR",113210064.70956141,1047670,0.23962961464036864,0.29794341594765855,0.5733356922613139,0.0478579605347072
"BG33",1057657,944458,767785,5.211289898201307,20.03038347364904,"BG","BGR",125676445.0330825,1026019,0.27183372198903366,0.33753021321151355,0.6477879199289981,0.05578324151558778
"BG34",1245052,1052575,850331,5.508904813869931,21.17431156146811,"BG","BGR",142624971.95515394,1209686,0.3138784708615634,0.3893247786848592,0.7456268887364772,0.06576459519094016
"BG41",2165613,2121185,1857416,6.86628908812185,26.391623986123488,"BG","BGR",325324339.62796474,2142700,0.5611085032399514,0.7076092277800357,1.3994723392258335,0.0793239918053027
"BG42",1725247,1436216,1166452,7.338456890628159,28.206472580782535,"BG","BGR",194265503.91321534,1683544,0.4372986948355683,0.5416772875904639,1.0346147674455675,0.09403766679270581
"CY00",645399,848319,1046219,37.1166953125,65.53477604166666,"CY","CYP",188047693.5,690497,-2.3385449705534187,-4.069485378376772,-0.728727773520299,0.057679565333993904
"CZ01",1214584,1267449,1492355,14.443913115655457,18.902356121922967,"CZ","CZE",362218641.5007276,1186855,-1.736490749963689,-1.639759928939322,-1.430456229956723,0.05631545756611683
"CZ02",1108007,1326876,1569323,67.32777375022438,88.11002573420328,"CZ","CZE",330133688.45019186,1111354,-1.7051582788698174,-1.6083744929362265,-1.3989561898253928,0.0886295787383492
"CZ03",1183736,1214450,1238207,77.74457231444978,101.74220660753643,"CZ","CZE",296545197.4654652,1177982,-1.5359034976640364,-1.448668848002366,-1.25991272394301,0.08090094758856925
"CZ04",1130267,1120654,997968,65.60271778382233,85.85249192421124,"CZ","CZE",264151554.9074569,1131974,-1.3566825186034033,-1.279782597210798,-1.1133884962562648,0.06857837519680243
